Monat,Durchfluss_m3s,Datum,trendber,trend,saisonfigur_mean,saisonfigur_std,saisonber,normiert,autokorr_saisonfigur,autokorr,zufall
08/1975,0.758,1975-08-01,0.7472,0.0108,0.6943,0.42636,0.0637,0.1494,0.19382,0.02896,0.12045
09/1975,0.586,1975-09-01,0.57541,0.01059,0.7096,0.52468,-0.1236,-0.23557,0.54189,-0.12765,-0.10792
10/1975,0.303,1975-10-01,0.29262,0.01038,0.81383,0.66743,-0.51083,-0.76536,-0.0622,0.0476,-0.81296
11/1975,0.385,1975-11-01,0.37484,0.01016,0.95687,0.73276,-0.57187,-0.78044,0.44651,-0.34847,-0.43197
12/1975,1.386,1975-12-01,1.37605,0.00995,1.42378,1.20142,-0.03778,-0.03144,0.38281,-0.01204,-0.01941
01/1976,4.76,1976-01-01,4.75027,0.00973,1.32562,0.92795,3.43438,3.70102,0.25444,0.94169,2.75933
02/1976,1.077,1976-02-01,1.06748,0.00952,1.09023,0.71671,-0.01323,-0.01845,0.25318,-0.00467,-0.01378
03/1976,0.825,1976-03-01,0.81569,0.00931,1.8362,1.01561,-1.0112,-0.99566,0.00952,-0.00948,-0.98618
04/1976,2.049,1976-04-01,2.03991,0.00909,2.39665,1.45556,-0.34765,-0.23884,0.59307,-0.14165,-0.09719
05/1976,0.564,1976-05-01,0.55512,0.00888,1.25822,0.80009,-0.69422,-0.86769,0.37076,-0.32171,-0.54598
06/1976,0.641,1976-06-01,0.63234,0.00866,0.87288,0.52115,-0.23188,-0.44493,0.06897,-0.03069,-0.41424
07/1976,0.398,1976-07-01,0.38955,0.00845,0.86582,0.66268,-0.46783,-0.70596,0.11956,-0.0844,-0.62156
08/1976,0.418,1976-08-01,0.40976,0.00824,0.6943,0.42636,-0.2763,-0.64804,0.19382,-0.1256,-0.52244
09/1976,0.334,1976-09-01,0.32598,0.00802,0.7096,0.52468,-0.3756,-0.71586,0.54189,-0.38792,-0.32794
10/1976,0.27,1976-10-01,0.26219,0.00781,0.81383,0.66743,-0.54383,-0.8148,-0.0622,0.05068,-0.86548
11/1976,0.36,1976-11-01,0.3524,0.0076,0.95687,0.73276,-0.59687,-0.81456,0.44651,-0.36371,-0.45085
12/1976,0.893,1976-12-01,0.88562,0.00738,1.42378,1.20142,-0.53078,-0.44179,0.38281,-0.16912,-0.27267
01/1977,0.721,1977-01-01,0.71383,0.00717,1.32562,0.92795,-0.60463,-0.65157,0.25444,-0.16579,-0.48578
02/1977,2.235,1977-02-01,2.22805,0.00695,1.09023,0.71671,1.14477,1.59726,0.25318,0.40439,1.19287
03/1977,2.414,1977-03-01,2.40726,0.00674,1.8362,1.01561,0.5778,0.56892,0.00952,0.00542,0.5635
04/1977,1.572,1977-04-01,1.56547,0.00653,2.39665,1.45556,-0.82465,-0.56655,0.59307,-0.336,-0.23055
05/1977,1.004,1977-05-01,0.99769,0.00631,1.25822,0.80009,-0.25422,-0.31775,0.37076,-0.11781,-0.19994
